Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
RELA_24523406_ChIP-Seq_FIBROSARCOMA_Human	81/1182	0.0000000000000000000026963637038013398369364234421976635121500091976114240425728245387215764594657230190932750701904296875	0.00000000000000000171219095191385087281474191521131284786438129844033349813425815000300644896924495697021484375	0.00000000000000000000000000000000000000000000038623993263567368650920930905770296482489368570557723100403165283099021596491431107665898214285468595156684381959296716024798712396659539081156253814697265625	0.000000000000000000000000000000000000000000245262357223652798478753935658275702575985155631442183403240854122093936022824482966188289928615148014778043865369294707079461659304797649383544921875	-1.7378714115082186	71.09416077400017	ACHE;CDKN1A;CD83;ITGB2;SERPINE1;TNFAIP3;CD3G;ENO1;SLC2A5;CXCL3;TSKU;CTSS;BBC3;ICAM1;CKS1B;UPK1B;LGALS1;MYC;CASP4;COTL1;UPP1;CD34;IGFBP1;EDN1;IGFBP2;F3;MMP9;HLA-G;RAB30;SLPI;IRF1;PAPPA;TFEC;S100A6;RDH5;S100A4;CD48;CYP2E1;LTB;CD44;RBKS;TLR2;FAM129A;SLC3A2;DTX4;THBS2;THBS1;FSTL3;GNAI2;C3;DPP4;CYP27B1;P2RY6;CCL5;UCP2;FLNA;CCL2;HMOX1;CCL19;STRA6;CD74;NQO1;SLC16A1;VCAM1;STAT1;TFPI2;FN1;KCNJ15;LYZ;ATOX1;AGT;PSMB9;CXCL10;RCAN1;KRT18;CCNG1;LCN2;BAX;CD69;VIM;NFKBIE
NR1H3_23393188_ChIP-Seq_ATHEROSCLEROTIC-FOAM_Human	39/599	0.0000000005741146645823172112440898411079258367717415012521087191998958587646484375	0.000000091140703002442859508047158512145102804424823261797428131103515625	0.00000000000000000000122710041025977274902363962904090262044979556061654283951613784997558553868657327257096767425537109375	0.00000000000000000002996956771211368490527205241241322779266686632881897043960417459373957171919755637645721435546875	-2.3575021394075515	38.217140285280294	C1QB;PDXK;FGL2;TNFAIP3;NPL;HLA-DMA;GLIPR1;ATIC;TUBA1A;BASP1;ZMAT3;CCL5;ANPEP;UPP1;GBP2;PLTP;PLS1;CD74;TNFRSF12A;CD93;GDF15;TUBB;IGFBP2;LY86;PLAUR;SLC6A12;THOC5;AGT;WDR77;RAB32;ACOX2;ALOX5AP;HCLS1;IRF8;S100A4;MCM6;TGFBI;IL7R;MCM2
BACH1_22875853_ChIP-PCR_HELA_AND_SCP4_Human	67/1352	0.00000000006018908702036418889929866629968252013382912224415122182108461856842041015625	0.00000001911003512896562835347784412194649394933776420657522976398468017578125	0.0000000000000000000000000000046282843384457453646573588838957910846749657572213218906065811492250331878029433185783858561990200541913509368896484375	0.0000000000000000000000000005877921109826096809296630788022044606859348172259337180307029922228000194499297759165301613393239676952362060546875	-2.099224837063486	37.309632693570016	PNLIPRP1;GALNT12;PSCA;GMFG;TNFAIP3;SLC2A2;ADM;SLC2A5;CLU;WFDC2;ICAM1;GLIPR1;CYP26B1;B3GALT2;PDK4;TIMP1;IGFBP1;SLC15A1;ADIPOQ;ADAM11;MMP12;RCN3;GPRC5B;TFEC;TXNIP;RARB;CD48;CYP2E1;ANGPTL4;MCM6;LTB;ATF3;CD44;HLA-DQB1;CCL13;SLC26A2;CEBPB;RRAD;LRP4;CXCR4;THBS2;P2RY6;CLEC7A;CCL5;HMOX1;RAB6B;HLA-DQA1;NQO1;MCOLN3;VCAM1;GDF15;TFPI2;P2RX7;SULT1B1;COL3A1;BHMT;PTPRC;CYP24A1;P2RX4;FABP5;BCL6;BAX;CD69;TGFBI;FGF12;ADA;GSTM5
PPARD_23176727_ChIP-Seq_KERATINOCYTES_Mouse	16/194	0.0000040912766921847123187199433969052364545859745703637599945068359375	0.000199843130733637895125875960644634687923826277256011962890625	0.00000000004896416746797968009481370655437411192056895714586062240414321422576904296875	0.0000000001818260020009771713710218105436379650019507181468725320883095264434814453125	-2.996663775408391	25.525515649366746	OSGIN1;ABHD6;ADH7;THBS2;ICAM1;HERPUD1;COL1A1;HEBP1;UPK1B;EPB41L3;ARHGDIB;PLIN2;SVEP1;TGFBI;HMGCS2;PLTP
PPARA_22158963_ChIP-Seq_LIVER_Mouse	85/2000	0.00000000028830964839684332504608407958339964805016819582306197844445705413818359375	0.0000000610255422439985073514045923852300301604145715828053653240203857421875	0.00000000000000000000000000000000127388951118085182362419107838004733325252392293856992884548038803221778357781317249906340161036411018358194269239902496337890625	0.00000000000000000000000000000040445991979992042132880485121866544988575857107328146577147336079611386239923177809973964258460910059511661529541015625	-1.4782409485056636	24.5564992194329	ARHGAP11A;CDKN1A;SLC35B1;AQP8;ITGB2;LY75;TNFAIP3;SLC2A2;PCTP;GPT;TMEM97;ENO1;FBXO21;SERPINA6;CLU;TSKU;FTCD;HEBP1;MYC;PDK4;HMGCS2;MBL2;IGFBP1;FGB;SLC13A2;KLF11;FCER1G;ADIPOQ;FGG;KRT8;RHOC;RHOB;NME1;TUBB2A;ACOX2;IRF1;LY6D;ANGPTL3;TXNIP;RDH5;PLIN2;ANGPTL4;ASPA;ATF3;FBP2;LRRC59;TAGLN;SLC22A6;PDXK;NR1I3;TMPRSS4;ABHD6;IQGAP2;DTX4;CRIP1;FSTL3;C3;DPP4;DDT;PSMB3;TTPA;NTF3;HMOX1;SLC25A20;SLC25A22;DECR1;SLC19A2;IL33;EGLN3;STAT1;EPHX1;FN1;OSGIN1;ATOX1;AGT;ACSF2;RCAN1;BHMT;VNN1;KRT18;BCL6;APOC2;SLC25A30;SFXN1;SEC24D
MYB_21317192_ChIP-Seq_ERMYB_Mouse	45/923	0.000000185076460750022220901606757013924120514047899632714688777923583984375	0.0000146904440720330145748497019386746842428692616522312164306640625	0.000000000000000000043041547409816554641322644742587752464417080256383553080699877479986525941058062016963958740234375	0.00000000000000000080386419427157389222547335777575881627362531135574138900501406368448442663066089153289794921875	-2.012527875064396	22.396040796563025	TNFAIP8;CEBPB;NCF2;GPR65;GFI1;LRP4;CXCR4;TMEM97;DTX4;SAMSN1;THBS1;SRM;GNAI2;PLAC8;HEBP1;GLIPR1;CCL5;MYC;FLNA;IL33;ABCC4;EGLN3;VCAM1;CD93;STAT1;GFPT2;CCDC109B;PLCL2;PLAUR;EMP3;THOC5;APRT;RHOB;SLPI;BCL6;BANK1;IRF1;ALOX5AP;PLIN2;CIAPIN1;LCP1;CD69;MCM6;SGK1;LPIN2
NCOR_22465074_ChIP-Seq_MACROPHAGES_Mouse	81/2000	0.00000000776331967080860338358832433737488631919632098288275301456451416015625	0.000000985941598192692662802941692967717557394280447624623775482177734375	0.000000000000000000000000000001267711255116251898007539667774839299581795188934320324527330983278033561321269072352801998704308061860501766204833984375	0.00000000000000000000000000022393624740991259519504565770952085435708155450254660238038342123458954309976609575727479750639759004116058349609375	-1.4580654270036832	20.164561820459934	TNFAIP8;NCF2;SLC35B1;GFI1;GPR65;ITGB2;HTR2B;PREP;TNFAIP3;PIGZ;GPT;ADM;CXCL3;LIPA;GLIPR1;TUBB6;ATIC;CPT2;MYC;DSE;RAC2;UPP1;GAMT;ELOVL1;FCER1G;ADIPOQ;PLAUR;RHOC;F3;RHOB;RAB32;RAB30;IRF1;ANGPTL3;S100A6;PLEKHO1;TAGLN2;CD48;SGK1;ATF3;TLR2;SLC26A2;PDXK;C5AR1;ASB13;CXCR4;IQGAP2;SAMSN1;PSMB10;PLAC8;CYP27B1;DRAM1;CCL5;UCP2;CCL2;DPH5;PLEK2;GOT1;GOLM1;STAT1;LY86;NMI;PSMB8;ATOX1;GUCA2A;P2RX7;CXCL10;RCAN1;PTPRC;GSTA3;POU2AF1;APOC2;CRYL1;CD69;VIM;TGFBI;EVI2B;SEC24D;CD68;NFKBIE;LPIN2
SMAD3_18955504_ChIP-ChIP_HaCaT_Human	73/1936	0.0000008086552770848586818241651198724273541529328213073313236236572265625	0.0000513496100948885214783345976030659585376270115375518798828125	0.000000000000000000000000095405867150541162963142719904919716097649962157246413713318433931606828146687604430553619749844074249267578125	0.0000000000000000000000050485604700494698218088356727652784743016098057548211288141909035449839127096538504702039062976837158203125	-1.7672637441930492	17.455004593068892	ARHGAP11A;SPON2;TNFAIP8;CDKN1A;ACAA2;PSCA;HSPB8;SERPINE1;HSPB1;ADM;CLU;TSKU;BBC3;CYP26B1;TUBB6;UPK1B;TUBA1A;GUK1;MYC;AIM1L;ARHGDIB;DSE;COTL1;CASP1;ANKRD1;UPP1;CD36;HOXA4;EDN1;ANXA1;TNFRSF12A;GLRX3;ANXA3;ACTN1;TUBB;KRT8;MRPS18B;RHOC;F3;MMP9;NME1;TUBB2B;TUBB2A;DDIT4;RARB;TAGLN2;ANGPTL4;CYP2E1;ATF3;RBKS;CD44;MVP;TMPRSS4;RPS27L;SLC3A2;SAMSN1;THBS1;FSTL3;GPNMB;CCL2;PLEK2;SLC19A2;SLC16A1;CCDC109B;TFPI2;LAPTM5;KCNJ15;BBOX1;HN1;KRT19;VIM;TGFBI;IL7R
SMAD2_18955504_ChIP-ChIP_HaCaT_Human	73/1936	0.0000008086552770848586818241651198724273541529328213073313236236572265625	0.0000513496100948885214783345976030659585376270115375518798828125	0.000000000000000000000000095405867150541162963142719904919716097649962157246413713318433931606828146687604430553619749844074249267578125	0.0000000000000000000000050485604700494698218088356727652784743016098057548211288141909035449839127096538504702039062976837158203125	-1.760799424131106	17.39115745268419	ARHGAP11A;SPON2;TNFAIP8;CDKN1A;ACAA2;PSCA;HSPB8;SERPINE1;HSPB1;ADM;CLU;TSKU;BBC3;CYP26B1;TUBB6;UPK1B;TUBA1A;GUK1;MYC;AIM1L;ARHGDIB;DSE;COTL1;CASP1;ANKRD1;UPP1;CD36;HOXA4;EDN1;ANXA1;TNFRSF12A;GLRX3;ANXA3;ACTN1;TUBB;KRT8;MRPS18B;RHOC;F3;MMP9;NME1;TUBB2B;TUBB2A;DDIT4;RARB;TAGLN2;ANGPTL4;CYP2E1;ATF3;RBKS;CD44;MVP;TMPRSS4;RPS27L;SLC3A2;SAMSN1;THBS1;FSTL3;GPNMB;CCL2;PLEK2;SLC19A2;SLC16A1;CCDC109B;TFPI2;LAPTM5;KCNJ15;BBOX1;HN1;KRT19;VIM;TGFBI;IL7R
ESR1_17901129_ChIP-ChIP_LIVER_Mouse	23/444	0.000082876838846561871258604436984995800230535678565502166748046875	0.00187952830955595670721358647625720550422556698322296142578125	0.0000000000240699558598972638770048965503131773412126559463786179549060761928558349609375	0.00000000009434828377181953385460986815852567170803677498724937322549521923065185546875	-2.626477786750136	16.485703561060806	IGFBP1;FGB;SLC22A6;ACAA2;GOT1;GDF15;NR1I3;FGG;PCTP;SERPINA6;PSMB10;C3;DPP4;BCL6;SLPI;ACOX2;TTPA;HSD17B2;SLC16A6;PDK4;SLC38A3;ASPA;SLC19A2
